epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7151845693588257,0.46938860416412354,0.001,0.7814174890518188,0.470712274312973
1,0.8101066946983337,0.3488245904445648,0.001,0.8467341661453247,0.3303791880607605
2,0.8351767063140869,0.3026178479194641,0.001,0.830851674079895,0.37177136540412903
3,0.8466302752494812,0.2806585431098938,0.001,0.783998429775238,0.45783326029777527
4,0.8550361394882202,0.26359066367149353,0.001,0.7978955507278442,0.4185337722301483
5,0.8613773584365845,0.2436346709728241,0.000100000005,0.8034544587135315,0.40725177526474
6,0.8639335632324219,0.23885425925254822,0.000100000005,0.8109986186027527,0.3983803987503052
7,0.8711596131324768,0.22941811382770538,0.000100000005,0.8151677846908569,0.39145854115486145
8,0.8717495203018188,0.22748208045959473,1.0000001e-05,0.818344235420227,0.3900790512561798
9,0.8730767369270325,0.22534005343914032,1.0000001e-05,0.818344235420227,0.3890734314918518
10,0.8748463988304138,0.22630783915519714,1.0000001e-05,0.8189398646354675,0.38815197348594666
11,0.8750430345535278,0.22694209218025208,1.0000001e-06,0.8197339773178101,0.3866770267486572
