epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8647200465202332,0.24820032715797424,0.001,0.9374627470970154,0.1776227205991745
1,0.9689328074455261,0.08148211985826492,0.001,0.9499702453613281,0.13807089626789093
2,0.9790099859237671,0.05321654677391052,0.001,0.9636688232421875,0.11485008150339127
3,0.9827950596809387,0.04794823378324509,0.001,0.9610879421234131,0.11121398210525513
4,0.9885464310646057,0.03288879618048668,0.001,0.9670438766479492,0.10405389219522476
5,0.989332914352417,0.02590148337185383,0.001,0.9585070610046387,0.1341664046049118
6,0.9892346262931824,0.027706310153007507,0.001,0.9430216550827026,0.2445346862077713
7,0.9913975596427917,0.02617000788450241,0.001,0.9408378005027771,0.24818739295005798
8,0.9935112595558167,0.015920937061309814,0.000100000005,0.944014310836792,0.22267049551010132
9,0.994248628616333,0.017307693138718605,0.000100000005,0.9442128539085388,0.22863274812698364
10,0.9949859976768494,0.013457207940518856,0.000100000005,0.9458010792732239,0.2261388599872589
11,0.9949368238449097,0.014373855665326118,1.0000001e-05,0.9458010792732239,0.22423210740089417
12,0.9954283833503723,0.014028912410140038,1.0000001e-05,0.9458010792732239,0.22700560092926025
13,0.9951826333999634,0.01536449696868658,1.0000001e-05,0.9450069665908813,0.2255139797925949
14,0.9960182905197144,0.012237824499607086,1.0000001e-06,0.9450069665908813,0.22475621104240417
