epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6893771886825562,0.4988568127155304,0.001,0.7822116613388062,0.41038212180137634
1,0.7829720377922058,0.37871599197387695,0.001,0.82926344871521,0.344215989112854
2,0.8071572780609131,0.3448670208454132,0.001,0.8129839301109314,0.3898999094963074
3,0.8134493231773376,0.32933518290519714,0.001,0.7925352454185486,0.45947349071502686
4,0.8210195302963257,0.3081657886505127,0.001,0.8266825675964355,0.3893546760082245
5,0.8288354873657227,0.2836540937423706,0.000100000005,0.8169545531272888,0.3979894816875458
6,0.8320306539535522,0.2843891978263855,0.000100000005,0.8171530961990356,0.39283210039138794
7,0.8354225158691406,0.28121182322502136,0.000100000005,0.8165574669837952,0.3919455111026764
8,0.8386176824569702,0.26991575956344604,1.0000001e-05,0.8205280900001526,0.38767269253730774
9,0.8396991491317749,0.2734765410423279,1.0000001e-05,0.8211236596107483,0.3864697217941284
10,0.8375362753868103,0.27342087030410767,1.0000001e-05,0.8211236596107483,0.3856950104236603
11,0.836798906326294,0.27965855598449707,1.0000001e-06,0.8223148584365845,0.3848738670349121
