epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8735191226005554,0.24504970014095306,0.001,0.9493746161460876,0.1354885995388031
1,0.9662291407585144,0.0839056447148323,0.001,0.9591026306152344,0.10776250809431076
2,0.9790099859237671,0.0567656047642231,0.001,0.9626761674880981,0.10900013893842697
3,0.9827950596809387,0.043570443987846375,0.001,0.9690291881561279,0.08315178751945496
4,0.9879565238952637,0.033199116587638855,0.001,0.9718086123466492,0.08457956463098526
5,0.9882515072822571,0.029332764446735382,0.001,0.9684336185455322,0.09471222013235092
6,0.9870225787162781,0.0340396948158741,0.001,0.9555290937423706,0.15673896670341492
7,0.9909059405326843,0.022440072149038315,0.000100000005,0.9527496695518494,0.16801530122756958
8,0.9929214119911194,0.01889140158891678,0.000100000005,0.9547349810600281,0.1598040908575058
9,0.993412971496582,0.017312536016106606,0.000100000005,0.95652174949646,0.15166807174682617
10,0.9929705262184143,0.017781037837266922,1.0000001e-05,0.9573158621788025,0.1513637751340866
11,0.9932655096054077,0.0186931025236845,1.0000001e-05,0.9585070610046387,0.1497480869293213
12,0.993609607219696,0.017003444954752922,1.0000001e-05,0.9579114317893982,0.15263444185256958
13,0.9934621453285217,0.01810728758573532,1.0000001e-06,0.9589040875434875,0.1479337066411972
