epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8613773584365845,0.24287617206573486,0.001,0.9638673663139343,0.10605849325656891
1,0.9647544622421265,0.08534926176071167,0.001,0.9652571082115173,0.08508701622486115
2,0.9789608120918274,0.0544288270175457,0.001,0.9644629955291748,0.09928053617477417
3,0.9823035001754761,0.0453592911362648,0.001,0.9775660037994385,0.06288262456655502
4,0.9849579930305481,0.03790710121393204,0.001,0.95175701379776,0.1484449952840805
5,0.9871700406074524,0.030682316049933434,0.001,0.9714115262031555,0.08418241143226624
6,0.9883497953414917,0.0289443451911211,0.001,0.9654556512832642,0.11765658855438232
7,0.991987407207489,0.02266576886177063,0.000100000005,0.967242419719696,0.10882190614938736
8,0.99282306432724,0.019106604158878326,0.000100000005,0.9678379893302917,0.1066024899482727
9,0.991987407207489,0.01851147972047329,0.000100000005,0.9692277312278748,0.09936261922121048
10,0.9934621453285217,0.01903242990374565,1.0000001e-05,0.9692277312278748,0.09964410960674286
11,0.9939537048339844,0.01798473857343197,1.0000001e-05,0.9690291881561279,0.09851239621639252
12,0.994248628616333,0.016022777184844017,1.0000001e-05,0.9692277312278748,0.09872889518737793
13,0.9943960905075073,0.017109403386712074,1.0000001e-06,0.9692277312278748,0.09662074595689774
