epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8014059066772461,0.3643489181995392,0.001,0.7498511075973511,0.5404832363128662
1,0.9061102271080017,0.2044980376958847,0.001,0.8709549307823181,0.3108323812484741
2,0.9317701458930969,0.1563647985458374,0.001,0.8820726871490479,0.2962110936641693
3,0.9383571743965149,0.13945649564266205,0.001,0.8872344493865967,0.3176312744617462
4,0.9453374743461609,0.12376268953084946,0.001,0.8927933573722839,0.3109685182571411
5,0.9519736766815186,0.11377058923244476,0.001,0.8729402422904968,0.35937100648880005
6,0.9602320194244385,0.09595874696969986,0.000100000005,0.8743299841880798,0.3664286434650421
7,0.9607727527618408,0.08989747613668442,0.000100000005,0.8794917464256287,0.3549441993236542
8,0.9609202146530151,0.09023359417915344,0.000100000005,0.8822711706161499,0.355633020401001
9,0.9654918313026428,0.08024165034294128,1.0000001e-05,0.8810800313949585,0.3601706027984619
10,0.9625424146652222,0.08664996922016144,1.0000001e-05,0.8816756010055542,0.3613628149032593
11,0.9649510979652405,0.08591754734516144,1.0000001e-05,0.8824697136878967,0.3564033806324005
12,0.9628373384475708,0.08762460201978683,1.0000001e-06,0.8820726871490479,0.3574571907520294
