epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7720100283622742,0.36418017745018005,0.001,0.8036529421806335,0.45713287591934204
1,0.9110750555992126,0.19096891582012177,0.001,0.888227105140686,0.25590381026268005
2,0.9320159554481506,0.15234310925006866,0.001,0.8927933573722839,0.24650287628173828
3,0.9405692219734192,0.1348690241575241,0.001,0.87274169921875,0.3242129683494568
4,0.9494174718856812,0.11419983208179474,0.001,0.8933889269828796,0.26630455255508423
5,0.9524160623550415,0.10906924307346344,0.001,0.9110581874847412,0.2243586927652359
6,0.9572334289550781,0.10090368241071701,0.001,0.9144331812858582,0.21766842901706696
7,0.9624440670013428,0.08755946904420853,0.001,0.9191979169845581,0.20366883277893066
8,0.9646070003509521,0.08800490945577621,0.001,0.9122493267059326,0.2299221307039261
9,0.9688344597816467,0.07374875247478485,0.001,0.939249575138092,0.16730555891990662
10,0.9673106074333191,0.0780656635761261,0.001,0.9186023473739624,0.23244887590408325
11,0.9667207598686218,0.07738470286130905,0.001,0.9261465072631836,0.20499584078788757
12,0.9691786170005798,0.07426977902650833,0.001,0.9382569193840027,0.17035932838916779
13,0.9749791026115417,0.05626186728477478,0.000100000005,0.9330950975418091,0.19229191541671753
14,0.9795998334884644,0.047599028795957565,0.000100000005,0.936470091342926,0.18672719597816467
15,0.9779776930809021,0.05164201185107231,0.000100000005,0.9330950975418091,0.1917877495288849
16,0.9797964692115784,0.04975137859582901,1.0000001e-05,0.9344848394393921,0.18860812485218048
17,0.9798456430435181,0.050240132957696915,1.0000001e-05,0.9346833229064941,0.1869458258152008
18,0.9803372025489807,0.05027759075164795,1.0000001e-05,0.9344848394393921,0.19045644998550415
19,0.9798456430435181,0.04856861010193825,1.0000001e-06,0.9328965544700623,0.19316254556179047
