epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8007177114486694,0.34554675221443176,0.001,0.8516974449157715,0.32824209332466125
1,0.8969669938087463,0.22024211287498474,0.001,0.9041095972061157,0.21284887194633484
2,0.9109275937080383,0.19263075292110443,0.001,0.9013301730155945,0.2192014455795288
3,0.9183502793312073,0.17079418897628784,0.001,0.923764169216156,0.17991089820861816
4,0.9236592650413513,0.16467170417308807,0.001,0.9031169414520264,0.21609672904014587
5,0.9241999983787537,0.16134531795978546,0.001,0.8995434045791626,0.23227636516094208
6,0.9280833601951599,0.1536412090063095,0.001,0.9094699025154114,0.20672392845153809
7,0.9305903911590576,0.140379399061203,0.000100000005,0.9070875644683838,0.2157287746667862
8,0.9373740553855896,0.1349327713251114,0.000100000005,0.9096684455871582,0.21273602545261383
9,0.9366858601570129,0.13400380313396454,0.000100000005,0.9142346382141113,0.20568925142288208
10,0.9399302005767822,0.13087783753871918,1.0000001e-05,0.9168155789375305,0.20006206631660461
11,0.9391436576843262,0.12939974665641785,1.0000001e-05,0.9144331812858582,0.20372100174427032
12,0.9382588863372803,0.12852683663368225,1.0000001e-05,0.9178082346916199,0.19883032143115997
13,0.9405201077461243,0.12517713010311127,1.0000001e-06,0.9170141220092773,0.19922079145908356
