epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8073047399520874,0.3542189300060272,0.001,0.8109986186027527,0.3793778121471405
1,0.8788772821426392,0.24558334052562714,0.001,0.8701608180999756,0.26124322414398193
2,0.8963771462440491,0.21572981774806976,0.001,0.8820726871490479,0.24832363426685333
3,0.9015877842903137,0.20536735653877258,0.001,0.8636093139648438,0.2679366171360016
4,0.9121565222740173,0.18165576457977295,0.001,0.8876315355300903,0.2248530238866806
5,0.9104360342025757,0.1832638680934906,0.001,0.8522930145263672,0.3004743456840515
6,0.914909303188324,0.17081965506076813,0.001,0.8600357174873352,0.2945549488067627
7,0.9150567650794983,0.1719653606414795,0.001,0.850903332233429,0.3123672604560852
8,0.9197758436203003,0.15667293965816498,0.000100000005,0.8711534738540649,0.2681441009044647
9,0.927640974521637,0.1482676863670349,0.000100000005,0.8779035210609436,0.2572535276412964
10,0.9287715554237366,0.14491023123264313,0.000100000005,0.8759182095527649,0.2644377052783966
11,0.9287223815917969,0.14972685277462006,1.0000001e-05,0.8783005475997925,0.2568921744823456
12,0.9291648268699646,0.15060587227344513,1.0000001e-05,0.8790947198867798,0.25967156887054443
13,0.9298038482666016,0.1499384641647339,1.0000001e-05,0.8783005475997925,0.2599317729473114
14,0.9289190173149109,0.14344710111618042,1.0000001e-06,0.8759182095527649,0.26419588923454285
