combo,results_dir,accuracy,balanced_accuracy,eer,min_tDCF,best_model,final_model,error
ABCDHKLMNO,/home/vali/Desktop/ASVspoof/results/ABCDHKLMNO,0.9998792464981484,0.99993272335845,0.0,0.06273287922336382,/home/vali/Desktop/ASVspoof/results/ABCDHKLMNO/best_model.keras,/home/vali/Desktop/ASVspoof/results/ABCDHKLMNO/final_model.keras,
ABDHKLMNO,/home/vali/Desktop/ASVspoof/results/ABDHKLMNO,0.9988729673160521,0.9993720846788662,0.0003588087549336204,0.0630691788720099,/home/vali/Desktop/ASVspoof/results/ABDHKLMNO/best_model.keras,/home/vali/Desktop/ASVspoof/results/ABDHKLMNO/final_model.keras,
ABCDEHKLMNO,/home/vali/Desktop/ASVspoof/results/ABCDEHKLMNO,0.9995974883271614,0.9996019377362604,0.00040365984930032295,0.06311121632809065,/home/vali/Desktop/ASVspoof/results/ABCDEHKLMNO/best_model.keras,/home/vali/Desktop/ASVspoof/results/ABCDEHKLMNO/final_model.keras,
ADHKLMNO,/home/vali/Desktop/ASVspoof/results/ADHKLMNO,0.9992352278216068,0.9995739146035163,0.0005830642267671331,0.0632793661524137,/home/vali/Desktop/ASVspoof/results/ADHKLMNO/best_model.keras,/home/vali/Desktop/ASVspoof/results/ADHKLMNO/final_model.keras,
ACDHKLMNO,/home/vali/Desktop/ASVspoof/results/ACDHKLMNO,0.9993559813234584,0.9994673844531603,0.0003924646781789942,0.06374177816930207,/home/vali/Desktop/ASVspoof/results/ACDHKLMNO/best_model.keras,/home/vali/Desktop/ASVspoof/results/ACDHKLMNO/final_model.keras,
ADEHKLMNO,/home/vali/Desktop/ASVspoof/results/ADEHKLMNO,0.998913218483336,0.9988730898503311,0.0011773940345368716,0.06424622764227118,/home/vali/Desktop/ASVspoof/results/ADEHKLMNO/best_model.keras,/home/vali/Desktop/ASVspoof/results/ADEHKLMNO/final_model.keras,
ABDEHKLMNO,/home/vali/Desktop/ASVspoof/results/ABDEHKLMNO,0.9993157301561745,0.9994449589059768,0.0007849293563578774,0.06429049166073363,/home/vali/Desktop/ASVspoof/results/ABDEHKLMNO/best_model.keras,/home/vali/Desktop/ASVspoof/results/ABDEHKLMNO/final_model.keras,
ABCEHKLMNO,/home/vali/Desktop/ASVspoof/results/ABCEHKLMNO,0.9987522138142007,0.9989571944535038,0.0011773940345368716,0.06504716587018732,/home/vali/Desktop/ASVspoof/results/ABCEHKLMNO/best_model.keras,/home/vali/Desktop/ASVspoof/results/ABCEHKLMNO/final_model.keras,
ACEHKLMNO,/home/vali/Desktop/ASVspoof/results/ACEHKLMNO,0.9992352278216068,0.9992263010197041,0.0007849293563578774,0.06508920332626807,/home/vali/Desktop/ASVspoof/results/ACEHKLMNO/best_model.keras,/home/vali/Desktop/ASVspoof/results/ACEHKLMNO/final_model.keras,
ACDEHKLMNO,/home/vali/Desktop/ASVspoof/results/ACDEHKLMNO,0.9992352278216068,0.999052494227798,0.0011773940345368716,0.06601848048480816,/home/vali/Desktop/ASVspoof/results/ACDEHKLMNO/best_model.keras,/home/vali/Desktop/ASVspoof/results/ACDEHKLMNO/final_model.keras,
ABEHKLMNO,/home/vali/Desktop/ASVspoof/results/ABEHKLMNO,0.998108195137659,0.9980769653228518,0.00196232339089486,0.06803405181430298,/home/vali/Desktop/ASVspoof/results/ABEHKLMNO/best_model.keras,/home/vali/Desktop/ASVspoof/results/ABEHKLMNO/final_model.keras,
AEHKLMNO,/home/vali/Desktop/ASVspoof/results/AEHKLMNO,0.9975849299629689,0.9970902060418437,0.0027472527472527375,0.07060724288475606,/home/vali/Desktop/ASVspoof/results/AEHKLMNO/best_model.keras,/home/vali/Desktop/ASVspoof/results/AEHKLMNO/final_model.keras,
ABCHKLMNO,/home/vali/Desktop/ASVspoof/results/ABCHKLMNO,0.9928755433907583,0.9939449966456733,0.005696088984571223,0.0791917901747579,/home/vali/Desktop/ASVspoof/results/ABCHKLMNO/best_model.keras,/home/vali/Desktop/ASVspoof/results/ABCHKLMNO/final_model.keras,
ACHKLMNO,/home/vali/Desktop/ASVspoof/results/ACHKLMNO,0.9881661568185477,0.9916688212090334,0.007490132759239325,0.08230701504949751,/home/vali/Desktop/ASVspoof/results/ACHKLMNO/best_model.keras,/home/vali/Desktop/ASVspoof/results/ACHKLMNO/final_model.keras,
ABHKLMNO,/home/vali/Desktop/ASVspoof/results/ABHKLMNO,0.9669135404926743,0.9793067119205056,0.020408163265306145,0.10585021701710508,/home/vali/Desktop/ASVspoof/results/ABHKLMNO/best_model.keras,/home/vali/Desktop/ASVspoof/results/ABHKLMNO/final_model.keras,
AHKLMNO,/home/vali/Desktop/ASVspoof/results/AHKLMNO,0.9607148607309612,0.9746365301109265,0.02080062794348514,0.11700795537756001,/home/vali/Desktop/ASVspoof/results/AHKLMNO/best_model.keras,/home/vali/Desktop/ASVspoof/results/AHKLMNO/final_model.keras,
